Date,Hours,Playgroup Name,Location Name,Location Address,Area,Registration Required,Language,URL,Organizer,Age Group,Time of Day,Day of Week
2024-01-02,09:30 - 12:00,Playgroup,Heatherington Family Centre,1495 Heatherington Rd,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Tuesday
2024-01-02,09:30 - 12:00,Playgroup,"Bank Street, 6th floor",1355 Bank St.,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Tuesday
2024-01-02,10:00 - 11:30,Playgroup at Primrose Park,Primrose Park,179 Primrose Ave,Central,Yes,English,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Tuesday
2024-01-02,10:15 - 11:30,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Tuesday
2024-01-02,13:00 - 14:30,Parent Connection Group (babies 0 - 24 months),Heatherington Family Centre,1495 Heatherington Rd,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Babies,Afternoon,Tuesday
2024-01-02,13:00 - 15:00,Baby and me,Carp Memorial Hall,434 Donald B. Munro Dr.,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Babies,Afternoon,Tuesday
2024-01-02,13:30 - 15:00,0-6 years Playgroup,Centretown Community Health Center,420 Cooper St.,Central,Yes,English,https://www.centretownchc.org/calendar,Centretown CHC,Kids,Afternoon,Tuesday
2024-01-02,13:30 - 15:00,Baby Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Babies,Afternoon,Tuesday
2024-01-02,13:30 - 15:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Afternoon,Tuesday
2024-01-02,13:30 - 15:30,Playgroup Bayshore,"Bayshore (Unit 101, dial 101 from lobby)",210 Woodridge Cr. ,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Afternoon,Tuesday
2024-01-02,17:00 - 19:00,Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Evening,Tuesday
2024-01-02,17:30 - 19:00,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Evening,Tuesday
2024-01-02,17:30 - 19:30,Playgroup Pinecrest Queensway,Pinecrest Queensway Community Health Centre,1365 Richmond Road,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Evening,Tuesday
2024-01-03,09:00 - 11:00,Caregiver Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Morning,Wednesday
2024-01-03,09:00 - 11:00,Les Libellules (French playgroup),Somerset West Community Health Centre,30 Rosemount Ave,Central,Recommended,French,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Wednesday
2024-01-03,09:00 - 11:15,0-6 years Playgroup,McLean Cooperative,343 Parkin Circle,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Wednesday
2024-01-03,09:00 - 11:30,Groupe de jeu,École Béatrice-Desloges,"1999, av. Provence",East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Wednesday
2024-01-03,09:00 - 11:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:00,0-6 years Playgroup,Centretown Community Health Center,420 Cooper St.,Central,Yes,English,https://www.centretownchc.org/calendar,Centretown CHC,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:00,Haven Playgroup Multi-faith Housing Community,The Haven,435 Via Verona Ave,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:30,Jules Morin Francophone Playgroup,Pavillon Jules Morin,400 Clarence,East,No,French,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:30,Open drop-in,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:30,Open drop-in,Stittsville St-Andrew's Presbitarian Church,2 Mulkin St. Sttisville,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:30,Open drop-in,"Bethel St-Andrew's United Church, Fitzroy Harbour",184 Jack Lougheed Way,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:30,Playgroup,Cedarwood,2850 Cedarwood Cr.,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:30,Playgroup Bayshore,"Bayshore (Unit 101, dial 101 from lobby)",210 Woodridge Cr. ,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Wednesday
2024-01-03,09:30 - 11:30,Playgroup Pinecrest Queensway,Pinecrest Queensway Community Health Centre,1365 Richmond Road,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Wednesday
2024-01-03,09:30 - 12:00,Playgroup,Heatherington Family Centre,1495 Heatherington Rd,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Wednesday
2024-01-03,09:30 - 12:00,Playgroup,"Bank Street, 6th floor",1355 Bank St.,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Wednesday
2024-01-03,10:00 - 11:30,Forest Group,Forest,300 Av. des Pères-Blancs,East,No,English & French,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Wednesday
2024-01-03,10:00 - 11:30,EarlyON Playgroup,Margaret Rywak Community Building,68 Knoxdale Rd.,West,No,English,https://nrocrc.org/,NROCRC,Kids,Morning,Wednesday
2024-01-03,10:00 - 11:30,Laroche Park Outdoor Playgroup,Laroche Park,52 Bayview Rd,Central,Recommended,English,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Wednesday
2024-01-03,10:00 - 12:00,Baby and Toddler Playgroup,Somerset West Community Health Centre,755 Somerset St W,Central,Recommended,English & Arabic,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Babies,Morning,Wednesday
2024-01-03,13:00 - 15:00,Me & My Baby (0-18 months),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Babies,Afternoon,Wednesday
2024-01-03,13:00 - 15:00,Baby and me,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Babies,Afternoon,Wednesday
2024-01-03,13:30 - 15:00,Outdoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Afternoon,Wednesday
2024-01-03,13:30 - 15:30,Tiny Toes Playgroup (babies 0-12 months),Centretown Community Health Center,420 Cooper St.,Central,Yes,English,https://www.centretownchc.org/calendar,Centretown CHC,Babies,Afternoon,Wednesday
2024-01-03,13:30 - 15:30,Infant Crawlers,Pinecrest Queensway Community Health Centre,1365 Richmond Road,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Babies,Afternoon,Wednesday
2024-01-03,16:00 - 19:00,Arabic Playgroup,Somerset West Community Health Centre,755 Somerset St W,Central,Recommended,Arabic,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Evening,Wednesday
2024-01-03,17:00 - 19:00,Papa et moi,CSC Vanier,270 Marier Ave.,East,No,English & French,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Evening,Wednesday
2024-01-04,09:00 - 11:00,Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Morning,Thursday
2024-01-04,09:00 - 11:15,0-6 years Playgroup,McLean Cooperative,343 Parkin Circle,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Thursday
2024-01-04,09:00 - 11:30,Groupe de jeu,École Béatrice-Desloges,"1999, av. Provence",East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Thursday
2024-01-04,09:00 - 11:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Thursday
2024-01-04,09:00 - 11:30,0-6 years Playgroup,Trainyards,600-700 Industrial,East,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Thursday
2024-01-04,09:15 - 11:15,Playgroup Bells Corners,Bells Corner,681 Seyton Dr.,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:00,Barrhaven United Church Playgroup,Barrhaven United Church,3013 Jockvale Rd,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Thursday
2024-01-04,09:30 - 11:00,Forest and Nature,Coronation Park,Meet at corner of Bloor Ave. and Crestwood Pl. ,East,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Bilingual Playgroup,CSC Vanier,270 Marier Ave.,East,No,English & French,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Jules Morin Bilingual Playgroup,Pavillon Jules Morin,400 Clarence,East,No,English & French,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Porte ouverte francophone,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,French,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Open drop-in,Carp Memorial Hall,434 Donald B. Munro Dr.,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Open drop-in,Kanata Beaverbrook Community Centre,1002 Beaverbrook Rd.,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Open drop-in,Constance and Buckham's Bay Community Centre,262 Len Purcell Dr.,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Playgroup Pinecrest Queensway,Pinecrest Queensway Community Health Centre,1365 Richmond Road,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Playgroup Bethany Baptist,Bethany Baptist Gym (use side door),382 Centrepointe,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Playgroup Foster Farm,Foster Farm,1065 Ramsey Cres.,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Thursday
2024-01-04,09:30 - 11:30,Laroche Park English Playgroup,Laroche Park,51 Stonehurst Ave.,Central,Recommended,English,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Thursday
2024-01-04,09:30 - 12:00,Playgroup,Heatherington Family Centre,1495 Heatherington Rd,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Thursday
2024-01-04,10:00 - 11:30,EarlyON Playgroup,Minto Party Room,1341 Meadowlands Dr.,West,No,English,https://nrocrc.org/,NROCRC,Kids,Morning,Thursday
2024-01-04,10:00 - 11:30,Outdoor Adventures,Torbolton Forest Loop (Click URL for details),"262 Len Purcell Drive, Constance Bay",West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Thursday
2024-01-04,10:00 - 12:00,Playgroup,Somerset West Community Health Centre,755 Somerset St W,Central,Recommended,English,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Thursday
2024-01-04,13:00 - 15:00,Indigenous Wellness Circle (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,Yes?,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Afternoon,Thursday
2024-01-04,13:00 - 15:00,Baby and me,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Babies,Afternoon,Thursday
2024-01-04,13:30 - 15:30,Baby & Me,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Babies,Afternoon,Thursday
2024-01-04,13:30 - 15:30,Baby & Me,Trainyards,600-700 Industrial,East,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Babies,Afternoon,Thursday
2024-01-05,08:45 - 10:00,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Friday
2024-01-05,09:00 - 11:00,Les Libellules (French playgroup),Somerset West Community Health Centre,30 Rosemount Ave,Central,Recommended,French,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Friday
2024-01-05,09:00 - 11:30,Site Principal,Site Principal,431 Boul. St-Laurent,East,No,French,https://grandirensemble.ca/services-a-la-petite-enfance-et-a-la-famille/centre-on-y-va-grandir-ensemble/,Grandir ensemble,Kids,Morning,Friday
2024-01-05,09:00 - 11:30,Groupe de jeu,École Béatrice-Desloges,"1999, av. Provence",East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Friday
2024-01-05,09:00 - 11:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Friday
2024-01-05,09:30 - 11:00,Richmond Playgroup,Richmond Memorial Arena,"6095 Perth St, Richmond",West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Groupe de jeu francophone,CSC Vanier,270 Marier Ave.,East,No,French,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Open drop-in,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Open drop-in,Carp Memorial Hall,434 Donald B. Munro Dr.,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Open drop-in,Stittsville St-Andrew's Presbitarian Church,2 Mulkin St. Sttisville,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Playgroup,Cedarwood,2850 Cedarwood Cr.,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Playgroup,"Bank Street, 6th floor",1355 Bank St.,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,Playgroup Bayshore,"Bayshore (Unit 101, dial 101 from lobby)",210 Woodridge Cr. ,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Friday
2024-01-05,09:30 - 11:30,English Playgroup,Somerset West Community Health Centre,755 Somerset St W,Central,Recommended,English,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Friday
2024-01-05,09:30 - 12:00,Playgroup,Heatherington Family Centre,1495 Heatherington Rd,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Friday
2024-01-05,10:00 - 11:00,Stroller Walk (babies 0-18 months),Tanger Outlet (inside food court next to entrance 4),8555 Campeau Drive,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Babies,Morning,Friday
2024-01-05,10:15 - 11:30,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Friday
2024-01-05,11:00 - 11:45,Storytime Ikea,"Ikea, 3rd floor at the back of the restaurant",2685 Iris,West,No,English,http://www.pqchc.com/children-family-services/early-on/,PQCHC,Kids,Morning,Friday
2024-01-05,13:00 - 14:15,Multicultural Newcomer Drop-In (OCCSC),Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Afternoon,Friday
2024-01-05,13:00 - 15:00,Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Afternoon,Friday
2024-01-05,13:30 - 15:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Afternoon,Friday
2024-01-05,13:30 - 15:30,Baby & Me,Trainyards,600-700 Industrial,East,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Babies,Afternoon,Friday
2024-01-06,09:00 - 11:00,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Saturday
2024-01-06,09:00 - 11:15,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Saturday
2024-01-06,09:00 - 11:30,Groupe de jeu,École Béatrice-Desloges,"1999, av. Provence",East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Saturday
2024-01-06,09:30 - 11:30,Saturday Morning Playgroup,CSC Vanier,270 Marier Ave.,East,No,English & French,https://www.cscvanier.com/en/family/preschool/playgroups,CSC Vanier,Kids,Morning,Saturday
2024-01-06,09:30 - 11:30,Playgroup (0-6 years),Parent Resource Centre,300 Goulburn Cr,Central,No,English,https://parentresource.ca/earlyon-programs-and-services/,PRC,Kids,Morning,Saturday
2024-01-06,09:30 - 11:30,Open drop-in,Western Ottawa Community Resource Centre,2 MacNeil Court,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Saturday
2024-01-06,09:30 - 11:30,Music with Margie,Carp Memorial Hall,434 Donald B. Munro Dr.,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Saturday
2024-01-06,09:30 - 11:30,Open drop-in,Stittsville St-Andrew's Presbitarian Church,2 Mulkin St. Sttisville,West,No,English,https://wocrc.ca/program/earlyon-cfc-programs-and-workshops/,WOCRC,Kids,Morning,Saturday
2024-01-06,09:30 - 11:30,EarlyON Playgroup,Carlington Community Health Centre,900 Merivale,West,No,English,https://carlingtonchc.com/programs-and-services/families/earlyon-and-child-playgroups/,Carlington CHC,Kids,Morning,Saturday
2024-01-06,09:30 - 11:30,English Playgroup,Somerset West Community Health Centre,755 Somerset St W,Central,Recommended,English,https://www.swchc.on.ca/children-youth-programs/parent-support-calendar,SWCHC,Kids,Morning,Saturday
2024-01-06,09:30 - 12:00,Playgroup,Heatherington Family Centre,1495 Heatherington Rd,South,No,English,https://www.seochc.on.ca/programs-and-services/children-and-family/about-early-years-and-earlyon-services/,SEOCHC,Kids,Morning,Saturday
2024-01-08,08:30 - 12:30,Playgroup (0-6 years),Divine Infant School,8100 Jeanne D’Arc Blvd,East,No,English,https://www.ocsb.ca/parents/child-care/,OCSB,Kids,Morning,Monday
2024-01-08,08:30 - 13:30,EarlyON Playgroup,Carlington Community Health Centre,900 Merivale,West,No,English,https://carlingtonchc.com/programs-and-services/families/earlyon-and-child-playgroups/,Carlington CHC,Kids,Morning,Monday
2024-01-08,08:45 - 10:00,Indoor Playgroup,City View Centre,1099 Longfields Dr.,West,No,English,https://www.cityviewcentre.ca/playgroups,City View Centre,Kids,Morning,Monday
2024-01-08,08:45 - 12:45,Playgroup (0-6 years),St. Elizabeth School,1366 Coldrey Avenue,West,No,English,https://www.ocsb.ca/parents/child-care/,OCSB,Kids,Morning,Monday
2024-01-08,09:00 - 11:00,EarlyON Playgroup,Rideauview Community Centre,4310 Shoreline Drive,South,No,English,https://gccs.ca/earlyon-drop-ins-2/,GCCS,Kids,Morning,Monday
2024-01-08,09:00 - 11:00,EarlyON Playgroup,Fred G. Barrett Arena - Lions Hall,3280 Leitrim Rd,South,No,English,https://gccs.ca/earlyon-drop-ins-2/,GCCS,Kids,Morning,Monday
2024-01-08,09:00 - 11:00,Groupe de jeu,École La Vérendrye ,"614, prom. Eastvale ",East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Monday
2024-01-08,09:00 - 11:15,0-6 years Playgroup,McLean Cooperative,343 Parkin Circle,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Monday
2024-01-08,09:00 - 11:30,Maison Francophonie,Maison Francophonie,2720 Richmond,West,No,French,https://grandirensemble.ca/services-a-la-petite-enfance-et-a-la-famille/centre-on-y-va-grandir-ensemble/,Grandir ensemble,Kids,Morning,Monday
2024-01-08,09:00 - 11:30,École Roger-Saint-Denis,École Roger-Saint-Denis,186 cr. Barrow,West,No,French,https://grandirensemble.ca/services-a-la-petite-enfance-et-a-la-famille/centre-on-y-va-grandir-ensemble/,Grandir ensemble,Kids,Morning,Monday
2024-01-08,09:00 - 11:30,Groupe de jeu,École Béatrice-Desloges,"1999, av. Provence",East,No,French,https://lacoccinelle.com/centre-on-y-va,La Coccinelle,Kids,Morning,Monday
2024-01-08,09:00 - 11:30,Metcalfe Lullabies (babies 0-18 months),Metcalfe,"8243 Victoria Street, Metcalfe",South,No,English,https://www.ruralfamilyconnections.ca/programs/earlyon,Rural Family Connections,Babies,Morning,Monday
2024-01-08,09:00 - 11:30,0-6 years Playgroup,Don Reid,2330 Don Reid Dr.,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Monday
2024-01-08,09:00 - 11:30,0-6 years Playgroup,Hunt Club Riverside,3320 Paul Anka Dr. ,South,No,English,https://www.afchildrensservices.ca/earlyon-child-and-family-centre/monthly-programming-schedule/,AF Children Services,Kids,Morning,Monday
2024-01-08,09:00 - 12:00,Osgoode Playgroup,Osgoode,"5662 Osgoode Main, Osgood",South,No,English,https://www.ruralfamilyconnections.ca/programs/earlyon,Rural Family Connections,Kids,Morning,Monday
2024-01-08,09:00 - 12:30,EarlyON Playgroup,"Cambridge Street Community Public School, Room 115",250 Cambridge Street North,Central,No,English,https://www.ocdsb.ca/cms/One.aspx?portalId=55478&pageId=212978,OCDSB,Kids,Morning,Monday
